#ItemCode,ItemName,Price,TaxPrice,MasterPrice
1181,果凍果汁(蘋果味),241,260,260
1182,果凍果汁(葡萄味),241,260,260
1183,果凍果汁(桃味),241,260,260
1185,100%葡萄汁,176,190,190
1186,100%苹果汁,176,190,190
2820,玉子?&稻荷寿司\n??,399,430,430
3168,肉厚醋?肥青花?押寿司,959,1035,1035
3171,外??用商品特?惠方卷,500,540,540
3172,豪?海?惠方卷～使用??金?? 中肥～,1380,1490,1490
3173,,389,420,420
3174,,1167,1260,1260
3175,外??子串2根套餐（豆沙、?油）,436,470,470
3176,?胃小菜??出汁?蛋卷、毛豆、章?小丸子、甘薯天??、特盛炸薯,1908,2060,2060
3177,外?用 Kappa米?甜品松??牙甜甜圈～黄豆粉～5个,241,260,260
3178,外?用 Kappa米?甜品松??牙甜甜圈～桂皮～5个,241,260,260
3179,?卷套餐（河童黄瓜卷、?火卷）,288,310,310
3180,?卷套餐（?豆卷、?火卷）,288,310,310
3181,惠方卷&?卷套餐（?火卷2根、河童黄瓜卷1根、?豆卷1根）,1065,1150,1150
3182,季??合套餐1人?,1306,1410,1410
3183,季??合套餐2人?,2612,2820,2820
3194,?典11? 3人?,2459,2655,2655
3195,?典11? 4人?,3278,3540,3540
3196,?典11? 5人?,4098,4425,4425
3217,金??什???1人?,1000,1080,1080
3218,金??什???2人?,2000,2160,2160
3219,三文?和三文?子1人?,908,980,980
3220,三文?和三文?子2人?,1815,1960,1960
3221,金??、三文?和三文?子1人?,1000,1080,1080
3222,金??、三文?和三文?子2人?,2000,2160,2160
3223,Kappa握寿司9??合套餐～附玩具&果?～,524,565,565
3224,杯装什?寿司～附玩具&果?～,431,465,465
3226,金??6?,297,320,320
3227,北?6?,297,320,320
3228,??6?,297,320,320
3229,三文?6?,297,320,320
3231,??沙拉6?,297,320,320
3235,炸薯条,306,330,330
3237,炸??,306,330,330
3238,炸??～配蛋黄?～,389,420,420
3239,外?用BOURBON?制 LUMONDE 高?布丁,362,390,390
3241,高?布丁3个&BOURBON?制 LUMONDE 高?布丁3个,2112,2280,2280
3354,京蕨?,102,110,110
3355,外??用商品冷??油蛋?,1167,1260,1260
3356,人气食材8??合套餐,510,550,550
3357,特?惠方卷&豪?海?惠方卷高?布丁2个套餐,2408,2600,2600
3434,?足套餐1人?,1176,1270,1270
3435,?足套餐2人?,2352,2540,2540
3438,?足套餐5人?,5880,6350,6350
4281,玉米6?,297,320,320
4482,外?3?佐酒菜,408,440,440
4483,人气食材16??合套餐,1667,1800,1800
4644,特上等10?套餐,1982,2140,2140
4645,金??什???1人?,1070,1155,1155
4647,金??＆三文?＆特盛??子6?套餐1人?,1107,1195,1195
4649,三文?＆特盛??子什?套餐,977,1055,1055
4661,外??用商品高?布丁,389,420,420
4663,外??用商品冷?芝士蛋?,1834,1980,1980
4664,外??用商品冷?巧克力蛋?,1834,1980,1980
4709,奢?金??盖?,834,900,900
4710,海?9?盖?,834,900,900
4716,外?用奢?大??天??盖?,834,900,900
4717,外?用奢?海胆&??子盖?,1834,1980,1980
4718,??高??味拉面,463,500,500
4825,浅??小茄子,639,690,690
4840,外???炸薯条（海苔?味）,454,490,490
4841,外???炸薯条（法式清?味）,454,490,490
4843,?足套餐1人?,852,920,920
4844,?足套餐2人?,1704,1840,1840
4848,?品套餐1人?,1704,1840,1840
4849,?品套餐2人?,3408,3680,3680
4858,人气食材16??合套餐,1362,1470,1470
4859,人气食材9??合套餐,547,590,590
4860,??子什?寿司,2130,2300,2300
4861,海?碎切什?寿司,732,790,790
4862,金???火什?寿司,723,780,780
4863,??子&三文?什?寿司,1380,1490,1490
4864,儿童什?寿司,389,420,420
6004,三文?,100,110,110
6006,炙???配青葱山椒,137,150,150
6007,活?真?配海胆,264,290,290
6010,?,100,110,110
6011,炙?3??? 蛋黄?炙?牛五花肉、蛋黄?炙???、蛋黄?炙??,264,290,290
6013,??????味 押寿司,391,430,430
6014,??茶碗蒸,355,390,390
6017,比目?伊予?平（Kiwamihira）,191,210,210
6018,比目?天??伊予?平（Kiwamihira）,210,230,230
6022,醋??斑??配生姜,100,110,110
6024,煮星?,173,190,190
6026,青紫?叶卷碎切??,146,160,160
6027,碎切金???式辣拌??卷,210,230,230
6029,??卷3???（海胆、金??丁、??子）,628,690,690
6033,洋葱?&三文?,137,150,150
6035,?蛋卷,100,110,110
6039,洋葱?&三文?（加蛋黄?）,137,150,150
6042,山形?祥元祖冷拉面店?屋本店?制 ?肉中?拉面,491,540,540
6047,名水培育大片福井三文?,191,210,210
6053,青紫?叶卷碎切金??,100,110,110
6054,5??? 金??中肥、大片活?真?配柚子、幼鰤?腹、?夷??、,1219,1340,1340
6055,7??? 金??中肥、三文?配??子、大片活?真?配柚子、?夷,1746,1920,1920
6060,金??,100,110,110
6061,名水培育大片福井三文???,228,250,250
6063,青紫?叶卷碎切金??配?庵??卜,100,110,110
6064,灰?花天??握寿司,100,110,110
6071,名水培育福井三文?&??子??卷,328,360,360
6072,名水培育福井三文? 特制押寿司,237,260,260
6073,灰?花＆??出汁?汁茶碗蒸,300,330,330
6078,活?幼鰤?腹肉配芝麻味噌?汁,173,190,190
6079,名水培育福井三文? 特制押寿司?郁蛋黄???,273,300,300
6080,浸拌炸茄子寿司配芝麻味噌?汁,119,130,130
6082,炭???柚子胡椒?味,119,130,130
6084,炙?醋???,137,150,150
6085,炙?醋???（青紫?叶）,137,150,150
6086,??,173,190,190
6087,迷?巴西莓果碗\n（不加蜂蜜）,328,360,360
6088,蒲???,210,230,230
6091,??金??,100,110,110
6093,蔬菜什?天???冬面,391,430,430
6094,名水培育福井三文?天??握寿司 配橙醋?,210,230,230
6095,葱香金??糜握寿司配香脆辣油,137,150,150
6096,青紫?叶卷葱香金??糜配?庵??卜,100,110,110
6099,沙鮻?天??握寿司,119,130,130
6100,沙拉握寿司\n配香脆辣油,137,150,150
6105,?曲?味白腹??田炸 握寿司,100,110,110
6106,小号北海道?北??天??～配蛋黄?&七味辣椒粉～2个,191,210,210
6107,芝麻&青紫?叶\n稻荷寿司,100,110,110
6108,炙?碎切??海苔手卷寿司,128,140,140
6110,?曲?味白腹??田炸握寿司配蛋黄?,100,110,110
6111,??肉??寿司,355,390,390
6113,牛油果&??,191,210,210
6114,?式辣拌手卷寿司 中卷,191,210,210
6115,金??,173,190,190
6117,合?里脊肉&柚子茶碗蒸,300,330,330
6118,金??2???（生、焦香?油炙?）,191,210,210
6119,猪舌配?味?汁,100,110,110
6120,??,191,210,210
6121,猪舌配?味?汁（青紫?叶）,100,110,110
6122,牛油果&三文?,191,210,210
6124,??三文?肥,228,250,250
6125,三文?,173,190,190
6127,??高??味拉面,391,430,430
6128,墨?,210,230,230
6131,??&秋葵&裙?菜根&?豆??卷,100,110,110
6135,??&秋葵&裙?菜根&?豆??卷,50,55,55
6136,活?幼鰤?腹肉,173,190,190
6137,炙?猪舌配?味?汁,137,150,150
6138,??&秋葵&裙?菜根&?豆??卷,100,110,110
6139,活?幼鰤?,191,210,210
6140,三文?2???（生、??）,191,210,210
6144,松?粘糯?豆?子,237,260,260
6145,幼鰤?&三文?2???,150,165,165
6146,青紫?叶卷水煮??,100,110,110
6147,灰?花天????,100,110,110
6149,??&秋葵&裙?菜根&?豆??卷,50,55,55
6150,黄瓜片&蟹柳配蛋黄?,100,110,110
6151,幼鰤?&??2???,150,165,165
6153,幼鰤?&??2???,150,165,165
6154,??天然喉黒?,100,110,110
6159,幼鰤?&?肉2???,196,215,215
6160,??高??味拉面～附?加面～,600,660,660
6161,迷?巴西莓果碗（蜂蜜）,328,360,360
6162,儿童松?（2?）※附?蛋?&果?,283,311,311
6163,儿童?冬面※附?蛋?,172,189,189
6165,大??天??&蔬菜天???冬面,537,590,590
6166,上等炙?煮星?,355,390,390
6169,灰?花&牛肉加日本国?米粉的河粉,446,490,490
6171,生姜泥（杯装）,0,0,0
6172,味噌?汁（小袋）,28,30,30
6174,??天??握寿司配辣椒?,155,170,170
6178,赤??配辣椒?（加天??碎）,137,150,150
6179,三文?配?味番茄?,137,150,150
6181,?拌油炸茄子,119,130,130
6183,Kappa米?甜品松??牙甜甜圈～黄豆粉～2个,100,110,110
6184,浸拌炸茄子（配山?泥）,119,130,130
6186,青紫?叶卷?碎天??握寿司,191,210,210
6187,Kappa米?甜品松??牙甜甜圈～桂皮～2个,100,110,110
6190,????,228,250,250
6191,???,100,110,110
6192,蟹柳沙拉??卷,100,110,110
6193,蟹柳沙拉??卷,50,55,55
6196,天然生?,191,210,210
6204,蜜汁甘薯条&香草冰淇淋,264,290,290
6206,刺身6???金??、幼鰤?、三文?、真?、??,573,630,630
6210,蜜汁甘薯条&?油焦糖冰淇淋,300,330,330
6213,儿童??＆甜瓜?打水M,228,250,250
6214,?油焦糖冰淇淋,146,160,160
6216,炭???,100,110,110
6218,炭???配炸蒜,100,110,110
6220,??3?（海螺、魁蛤、石垣?）,328,360,360
6223,儿童??＆可口可?M,228,250,250
6224,活?幼鰤?,100,110,110
6226,生秋刀?,100,110,110
6227,石垣?配甜?芝麻,119,130,130
6231,秋刀?比?品?（生、??）,237,260,260
6237,金??中肥,282,310,310
6238,儿童??＆可尓必思M,228,250,250
6239,三文?肥,191,210,210
6240,焦香?油炙?活?幼鰤?,137,150,150
6242,??金??中肥,282,310,310
6243,海螺,210,230,230
6245,海?味噌拉面,537,590,590
6246,担担面?味肉味噌拉面,446,490,490
6247,佐酒笋干～配香脆辣油～,173,190,190
6248,奢?大??天?? 盖?、石?味噌?套餐,900,990,990
6249,奢?海胆&??子 盖?、石?味噌?套餐,1882,2070,2070
6252,特盛碎切三文?“河童??卷”,100,110,110
6253,特盛碎切三文?（蛋黄?）“河童??卷”,100,110,110
6255,蟹柳沙拉“河童??卷”,100,110,110
6256,??竹??,228,250,250
6258,佐酒叉?&笋干～配香脆辣油～,264,290,290
6259,奢?大??天??盖?,782,860,860
6260,奢?海胆&??子盖?,1764,1940,1940
6261,?厚巧克力慕斯～草莓?～,391,430,430
6262,金??糜,100,110,110
6266,海胆手卷寿司,119,130,130
6267,??子手卷寿司,100,110,110
6271,沙拉&感?玉米,100,110,110
6272,魁蛤,210,230,230
6275,BOURBON?制LUMONDE 高?布丁,355,390,390
6277,迷?果?,100,110,110
6281,炙?牛五花肉,210,230,230
6282,??肉,191,210,210
6284,炸薯条～附番茄?～,100,110,110
6285,肉厚醋?肥青花?押寿司,210,230,230
6290,BOURBON?制LUMONDE 高?布丁芭菲,446,490,490
6292,?拌油炸茄子,60,65,65
6293,炸薯条～配蛋黄?&胡椒～,100,110,110
6296,炸薯条（配辣油蛋黄?）,100,110,110
6297,炸薯条 ???子蛋黄?,100,110,110
6300,胡椒博士,182,200,200
6301,浸拌炸茄子（配山?泥）,60,65,65
6305,沙拉?豆??卷,100,110,110
6310,??子,355,390,390
6312,豪爽??天??（配蛋黄?）,119,130,130
6314,??子,210,230,230
6315,青紫?叶卷甜?,100,110,110
6317,金??&三文?2???,100,110,110
6318,?????卷,191,210,210
6319,葱香金??糜卷,191,210,210
6320,合?里脊肉,100,110,110
6321,?火卷,191,210,210
6323,?三文?,119,130,130
6324,甜?海苔手卷寿司,100,110,110
6327,?肉天??握寿司,100,110,110
6329,儿童??＆姜汁汽水M,228,250,250
6330,?肉天??握寿司配蛋黄?,100,110,110
6332,洋葱&油炸豆腐???,146,160,160
6335,甜醋生姜天???餐,100,110,110
6336,沙拉握寿司,100,110,110
6337,首先是?个！河童?典推荐 握寿司7?套餐,737,810,810
6339,合?里脊肉（配洋葱&蛋黄?）,137,150,150
6340,焦香?油炙?活?幼鰤?,228,250,250
6345,儿童用 握寿司套餐,283,311,311
6348,甜?,191,210,210
6350,?豆黄瓜片??卷,100,110,110
6352,金??糜&?豆\n??卷,100,110,110
6354,炸??,300,330,330
6357,海?碎??卷\n配香脆辣油,191,210,210
6358,海?碎蛋黄???卷\n配香脆辣油,191,210,210
6360,儿童用 ??套餐,283,311,311
6361,天???? 大??天??、灰?花天??、甘薯天??、三文?天?,446,490,490
6363,嫩滑Q?水?～配香脆辣油～,300,330,330
6364,秋葵&??&裙?菜根&?豆黄瓜片??卷,100,110,110
6366,星形&心形炸??,210,230,230
6367,美味和??堡牛肉?握寿司,191,210,210
6368,3??? 南方??金??中肥、海螺2片配??子、天然竹??,719,790,790
6369,天然竹??,237,260,260
6371,河童?品奢?握寿司～七?～配茶碗蒸＆石?味噌? 套餐,1982,2180,2180
6374,毛豆,100,110,110
6375,油炸章?小丸子～蛋黄?～2个,173,190,190
6379,京蕨?,100,110,110
6381,金??糜&?豆\n??卷,50,55,55
6383,??味噌?,282,310,310
6384,?????,282,310,310
6385,特盛油炸章?小丸子～配青葱～5个,391,430,430
6386,3???（牛排?味焦香?油炙?大片金??、????、??大片三,391,430,430
6387,半?寿司??12???,810,890,890
6389,海?碎??卷\n配香脆辣油,96,105,105
6392,浸拌炸茄子寿司配芝麻味噌?汁,60,65,65
6393,海?碎蛋黄???卷\n配香脆辣油,96,105,105
6394,芝麻&青紫?叶\n稻荷寿司,50,55,55
6395,儿童??,172,189,189
6397,炙?醋???,69,75,75
6399,泡芙冰淇淋,100,110,110
6401,水煮松叶蟹,182,200,200
6402,炙?醋???（青紫?叶）,69,75,75
6404,浅?小茄子??,191,210,210
6406,甜?,96,105,105
6417,天??握寿司3???（活?真?、大??、??）,264,290,290
6418,寿司屋?工餐海?沙拉,419,460,460
6419,肥沙丁?,100,110,110
6421,扇?,191,210,210
6423,炙?肥沙丁?,137,150,150
6425,儿童薯条??,172,189,189
6428,拌拌冰沙?味巴西莓&西印度?桃,591,650,650
6429,拌拌冰沙?味 双?巴西莓&西印度?桃,682,750,750
6432,??子??卷3?,719,790,790
6433,???油蛋?,191,210,210
6434,西印度?桃＆苹果?品,300,330,330
6440,浅?小茄子握寿司,146,160,160
6442,香???,146,160,160
6443,香???～配沙拉～,191,210,210
6444,香???～配??子～,191,210,210
6445,蟹黄,146,160,160
6449,土豆面包～加日本?米粉～,391,430,430
6450,香???～配??子～,264,290,290
6451,香???&洋葱与油炸豆腐味噌? 套餐,282,310,310
6452,香???～配沙拉～&洋葱与油炸豆腐味噌? 套餐,328,360,360
6453,香???～配??子～&洋葱与油炸豆腐味噌? 套餐,328,360,360
6454,香???～配??子～&洋葱与油炸豆腐味噌? 套餐,400,440,440
6455,?儿食（什?蔬菜丁）7月?以上,191,210,210
6456,蔬菜?肉番茄??,191,210,210
6458,浅?小茄子握寿司,73,80,80
6460,人气握寿司??,810,890,890
6461,儿童用 ?品?,61,67,67
6462,香箱蟹外子内子??卷 配蟹黄（外子：蟹卵、内子：蟹卵?）,137,150,150
6463,香箱蟹外子内子??卷（黄瓜）（外子：蟹卵、内子：蟹卵?）,182,200,200
6467,蟹黄蛋黄???卷,146,160,160
6468,蛋黄&牛肉?雨煮??卷,119,130,130
6473,炸??,419,460,460
6476,拌拌?昔草莓?乳杏仁&香草冰淇淋,391,430,430
6477,富山??白?手卷寿司,328,360,360
6479,白肉?天??寿司（配蛋黄?）,182,200,200
6480,金??花?香清??冬面（平日限定）,191,210,210
6481,金??花?香清??冬面（平日限定）,191,210,210
6482,洋葱?&三文?,69,75,75
6483,洋葱?&三文?（加蛋黄?）,69,75,75
6485,??活?幼鰤?腹肉,210,230,230
6489,??3???生?配白?、??配??子、??配??沙拉,446,490,490
6490,???夷,264,290,290
6495,??天??配沙司&蛋黄?握寿司,146,160,160
6500,??天??握寿司（配蛋黄?）,119,130,130
6501,豪爽??天??,119,130,130
6503,??天??握寿司,119,130,130
6510,柳叶?子??卷,100,110,110
